cast,country,directors,genre,original_title,production,rating,release_year,sinopsis,title
"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Marisa Paredes,Giustino Durano,Horst Buchholz,Sergio Bini Bustric",Italia,Roberto Benigni,"Comedia,Drama,Comedia dramática,Nazismo,Holocausto,II Guerra Mundial,Años 30,Años 40",La vita è bella,"Melampo Cinematografica,Cecchi Gori Group Tiger Cinematografica,Miramax","8,5",1997,"En 1939, a punto de estallar la Segunda Guerra Mundial (1939-1945), el extravagante Guido llega a Arezzo, en la Toscana, con la intención de abrir una librería. Allí conoce a la encantadora Dora y, a pesar de que es la prometida del fascista Rodolfo, se casa con ella y tiene un hijo. Al estallar la guerra, los tres son internados en un campo de exterminio, donde Guido hará lo imposible para hacer creer a su hijo que la terrible situación que están padeciendo es tan sólo un juego. (FILMAFFINITY)",La vida es bella
"Bette Davis,Anne Baxter,George Sanders,Celeste Holm,Gary Merrill,Hugh Marlowe,Gregory Ratoff,Barbara Bates,Marilyn Monroe,Thelma Ritter",Estados Unidos,Joseph L. Mankiewicz,"Drama,Teatro,Película de culto",All About Eve,"20th Century Fox,Darryl F. Zanuck","8,4",1950,"La joven Eva (Anne Baxter), que aspira a convertirse en actriz y triunfar en los escenarios, se las ingenia para introducirse en un grupo de actores de teatro y hacerse amiga y confidente de la famosa y veterana actriz Margo Channing (Bette Davis), gran dama de la escena neoyorquina. El deseo de actuar y los celos la consumen hasta el punto de comenzar a traicionar a sus compañeros en su escalada hacia el éxito. Ella halaga, atrae, seduce, pero también pisotea a todo el que se cruza en su camino: escritores, directores, productores. Sólo un inteligente crítico teatral comienza a adivinar lo que se esconde tras su dulce apariencia, sólo él es capaz de ver a ""Eva al desnudo"". (FILMAFFINITY)",Eva al desnudo
"Kirk Douglas,George Macready,Adolphe Menjou,Ralph Meeker,Wayne Morris,Joe Turkel,Richard Anderson,Timothy Carey,Peter Capell,Christiane Kubrick,Bert Freed,Emile Meyer",Estados Unidos,Stanley Kubrick,"Bélico,Drama,I Guerra Mundial,Ejército,Película de culto",Paths of Glory,"Bryna Productions,Metro-Goldwyn-Mayer (MGM)","8,4",1957,"Primera Guerra Mundial (1914-1918). En 1916, en Francia, el general Boulard ordena la conquista de una inexpugnable posición alemana y encarga esa misión al ambicioso general Mireau. El encargado de dirigir el ataque será el coronel Dax. La toma de la colina resulta un infierno, y el regimiento emprende la retirada hacia las trincheras. El alto mando militar, irritado por la derrota, decide imponer al regimiento un terrible castigo que sirva de ejemplo a los demás soldados. (FILMAFFINITY)",Senderos de gloria
"Toshirô Mifune,Kyôko Kagawa,Yutaka Sada,Takashi Shimura,Tatsuya Mihashi,Tatsuya Nakadai,Kenji Kodama,Isao Kimura,Kenjiro Ishiyama,Takeshi Katô,Jun Tazaki,Nobuo Nakamura,Yûnosuke Itô,Tsutomu Yamazaki,Minoru Chiaki,Eijirô Tono,Masao Shimizu,Masahiko Shimazu,Koji Mitsui,Kyû Sazanka,Susumu Fujita,Kamatari Fujiwara,Yoshio Tsuchiya,Kazuo Kitamura,Gen Shimizu,Akira Nagoya,Jun Hamamura,Masao Oda,Kô Nishimura,Yoshifumi Tajima,Kôji Kiyomura,Hiroshi Unayama,Satoshi Suzuki,Senkichi Omura,Kazuo Katô,Ikio Sawamura,Kin Sugai,Keiko Tomita,Isao Onoda,Kiyoshi Yamamoto,Haruo Suzuki",Japón,Akira Kurosawa,"Cine negro,Thriller,Intriga,Drama,Crimen,Policíaco,Secuestros / Desapariciones","Tengoku to Jigoku,","Kurosawa Production Co,Toho","8,4",1963,"En un momento crucial de su vida financiera, Gondo (Toshirô Mifune), un directivo de una importante empresa de zapatos, recibe la noticia de que su hijo ha sido secuestrado. El rescate exigido es una gran cantidad de dinero, pero Gondo la necesita para cerrar una negociación que le dará el control de la empresa. (FILMAFFINITY)",El infierno del odio
"Toshirô Mifune,Takashi Shimura,Yoshio Inaba,Seiji Miyaguchi,Minoru Chiaki,Daisuke Kato,Isao Kimura,Kamatari Fujiwara,Keiko Tsushima,Yoshio Tsuchiya,Kokuten Kôdô",Japón,Akira Kurosawa,"Aventuras,Drama,Japón feudal,Siglo XVI,Samuráis,Película de culto",Shichinin no Samurai (Seven Samurai),Toho,"8,4",1954,"Japón, Siglo XVI. Una aldea de campesinos indefensos es repetidamente atacada y saqueada por una banda de forajidos. Aconsejados por el anciano de la aldea, unos aldeanos acuden a la ciudad con el objetivo de contratar a un grupo de samuráis para protegerlos. A pesar de que el único salario es comida y techo, varios samuráis se van incorporando uno a uno al singular grupo que finalmente se dirige a la aldea. (FILMAFFINITY)",Los siete samuráis
"George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing,J. Farrell MacDonald",Estados Unidos,F.W. Murnau,"Drama,Romance,Drama romántico,Melodrama,Expresionismo alemán,Cine mudo,Película de culto",Sunrise: A Song of Two Humans,Fox Film Corporation,"8,4",1927,"Un granjero (George O'Brien) convive felizmente en el campo con su esposa (Janet Gaynor). Pero la aparición de una seductora mujer (Margaret Livingston) de la ciudad hace que comience a enamorarse de ésta, y a pensar que su mujer es un estorbo que se interpone en la felicidad entre él y su nueva y sofisticada amante. (FILMAFFINITY)",Amanecer
"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Tom Powers,Porter Hall,Jean Heather,Byron Barr,Richard Gaines,Fortunio Bonanova,John Philliber,Bess Flowers,Miriam Franklin",Estados Unidos,Billy Wilder,"Cine negro,Intriga,Thriller,Crimen",Double Indemnity,Paramount Pictures,"8,4",1944,"En la ciudad de Los Angeles un agente de una compañía de seguros (Fred MacMurray) y una cliente (Bárbara Stanwyck) traman asesinar al marido de esta última para así cobrar un cuantioso y falso seguro de accidentes. Todo se complica cuando entra en acción Barton Keyes (Edward G. Robinson), investigador de la empresa de seguros. (FILMAFFINITY)",Perdición
"Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Edie Adams,Jack Kruschen,Joan Shawlee,Hope Holiday,David Lewis,Naomi Stevens,Johnny Seven,Joyce Jameson,Willard Waterman,David White",Estados Unidos,Billy Wilder,"Comedia,Romance,Drama,Comedia dramática,Navidad,Película de culto,Nochevieja / Año nuevo",The Apartment,"United Artists,The Mirisch Corporation,United Artists","8,4",1960,C.C. Baxter (Jack Lemmon) es un modesto pero ambicioso empleado de una compañía de seguros de Manhattan. Está soltero y vive solo en un discreto apartamento que presta ocasionalmente a sus superiores para sus citas amorosas. Tiene la esperanza de que estos favores le sirvan para mejorar su posición en la empresa. Pero la situación cambia cuando se enamora de una ascensorista (Shirley MacLaine) que resulta ser la amante de uno de los jefes que usan su apartamento (Fred MacMurray). (FILMAFFINITY),El apartamento
"Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva,Seu Jorge,Jonathan Haagensen,Matheus Nachtergaele,Jefechander Suplino,Alice Braga,Emerson Gomes,Luis Otávio,Babu Santana,Gero Camilo",Brasil,"Fernando Meirelles,Kátia Lund","Drama,Basado en hechos reales,Adolescencia,Pobreza,Crimen,Años 60,Años 70,Años 80,Drogas,Película de culto,Bandas/pandillas callejeras",Cidade de Deus,"O2 Filmes,VideoFilmes,Globo Filmes,Wild Bunch,Lumière,Studiocanal,Hank Levine Film,Lereby Produções","8,4",2002,"Basada en hechos reales, describe el mundo del crimen organizado en Cidade de Deus, un suburbio de Río de Janeiro, desde finales de los sesenta hasta principios de los ochenta, época durante la cual el tráfico de drogas y la violencia impusieron su ley en las favelas. A finales de los sesenta, Buscapé, un niño de 11 años tímido y sensible, observa a los niños duros de su barrio, sus robos, sus peleas, sus enfrentamientos diarios con la policía. Pero él sabe muy bien lo que quiere ser si consigue sobrevivir: fotógrafo. Dadinho, un niño de su edad que se traslada al barrio, sueña con ser el criminal más peligroso de Río de Janeiro y empieza su aprendizaje haciendo recados para los delincuentes locales. Admira a Cabeleira y su pandilla, que se dedican a atracar los camiones del gas. Un día Cabeleira le da a Dadinho la oportunidad de cometer su primer asesinato. (FILMAFFINITY)",Ciudad de Dios
"Charles Chaplin,Jackie Coogan,Edna Purviance,Carl Miller,Tom Wilson,Henry Bergman,Lita Grey",Estados Unidos,Charles Chaplin,"Comedia,Drama,Pobreza,Cine mudo,Comedia dramática,Película de culto",The Kid,"Charles Chaplin,First National Pictures","8,4",1921,"Una mujer de escasos recursos (Edna Purviance), ha tenido un hijo siendo soltera, y al sentirse abandonada por el padre del niño, decide también ella abandonar al bebé, con la esperanza de que una familia rica lo coja en adopción. Pero el pequeño terminará en manos de un vagabundo (Charles Chaplin), quien pronto se encariñará con él y decidirá sacarlo adelante como sea. Cuando el niño, llamado ahora John (Jackie Coogan) llega a los cinco años, la lucha por la supervivencia y por permanecer juntos será toda una aventura. (FILMAFFINITY),
,
Reestreno 4K (100 aniversario) en cines España: 5 febrero 2021.",El chico
